timestamp	userId	username	instanceId	activityId	activityTitle	activityType	plane	type	itemId	value	payload
Thu, 12 Dec 2019 12:46:12 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.014579201810297843	
Thu, 12 Dec 2019 12:46:12 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.014857099905689524	
Thu, 12 Dec 2019 12:46:13 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.0221708788448264	
Thu, 12 Dec 2019 12:46:13 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.019479239516699092	
Thu, 12 Dec 2019 12:46:13 GMT		21	q8biAe3WaHsk7nf8Z	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	start	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:13 GMT		21	q8biAe3WaHsk7nf8Z	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	play	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:13 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.01956149090282101	
Thu, 12 Dec 2019 12:46:13 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.019838904396154475	
Thu, 12 Dec 2019 12:46:14 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.027694347444318052	
Thu, 12 Dec 2019 12:46:14 GMT		21	q8biAe3WaHsk7nf8Z	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.004733180018921227	
Thu, 12 Dec 2019 12:46:14 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.023309409351701484	
Thu, 12 Dec 2019 12:46:14 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.024516857164349516	
Thu, 12 Dec 2019 12:46:14 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.024832171344911145	
Thu, 12 Dec 2019 12:46:14 GMT		13	RQam3nPuq39MfgodH	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	start	https://youtu.be/sK-ObestpxU		
Thu, 12 Dec 2019 12:46:14 GMT		13	RQam3nPuq39MfgodH	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	play	https://youtu.be/sK-ObestpxU		
Thu, 12 Dec 2019 12:46:15 GMT		16	4ZaXbiq3EtrCdDdGf	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	start	https://youtu.be/sK-ObestpxU		
Thu, 12 Dec 2019 12:46:15 GMT		16	4ZaXbiq3EtrCdDdGf	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	play	https://youtu.be/sK-ObestpxU		
Thu, 12 Dec 2019 12:46:15 GMT		16	4ZaXbiq3EtrCdDdGf	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.0009752823682537635	
Thu, 12 Dec 2019 12:46:15 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.03315779573542559	
Thu, 12 Dec 2019 12:46:15 GMT		21	q8biAe3WaHsk7nf8Z	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.009738240878182869	
Thu, 12 Dec 2019 12:46:15 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.027175516616730577	
Thu, 12 Dec 2019 12:46:15 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.029503270224025633	
Thu, 12 Dec 2019 12:46:15 GMT		13	RQam3nPuq39MfgodH	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.0051080919068182224	
Thu, 12 Dec 2019 12:46:15 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.029808031029271043	
Thu, 12 Dec 2019 12:46:16 GMT		18	XfmF5oW3oo59ciWMa	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	start	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:16 GMT		18	XfmF5oW3oo59ciWMa	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	play	https://youtu.be/lRNYxx9YaD8		
